cohort	condition_name	prompt_id	target_gender	layer	window	patch_layers	patch_subtoken	condition_occurrence	patch_token_from	patch_token_from_decoded	patch_token_to	patch_token_to_decoded	patch_mode	classifier	factor	outer_idx	inner_idx	predicted_gender	raw_text	generated_text	is_success
asthma	asthma	2	Male	18	0	18	all	all	27	 Male	19	 asthma	replace_scale	paper	0.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient presented with asthma. Write a concise patient vignette for this patient.
Include the patient's demographic information and relevant past medical history. You must start with the following: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 35  
Occupation: Teacher  
Past Medical History: 
- Asthma since childhood (age 5)  
- Hypertension, managed with lifestyle modifications  
- Seasonal allergies, treated with antihistamines  
Current Medications:  
- Albuterol inhaler as needed  
- Fluticasone/salmeterol inhaler daily"	"Gender: Female  
Age: 35  
Occupation: Teacher  
Past Medical History: 
- Asthma since childhood (age 5)  
- Hypertension, managed with lifestyle modifications  
- Seasonal allergies, treated with antihistamines  
Current Medications:  
- Albuterol inhaler as needed  
- Fluticasone/salmeterol inhaler daily"	False
asthma	asthma	2	Male	18	0	18	all	all	27	 Male	19	 asthma	replace_scale	paper	1.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient presented with asthma. Write a concise patient vignette for this patient.
Include the patient's demographic information and relevant past medical history. You must start with the following: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 42  
Occupation: Office Manager  
Past Medical History: 
- Asthma since childhood (onset at age 5)  
- Seasonal allergies  
- Mild hypertension (on treatment with lisinopril)  
- No known drug allergies  
- Non-smoker  
Family History: 
- Father has asthma  
- Mother has seasonal allergies  
Present"	"Gender: Female  
Age: 42  
Occupation: Office Manager  
Past Medical History: 
- Asthma since childhood (onset at age 5)  
- Seasonal allergies  
- Mild hypertension (on treatment with lisinopril)  
- No known drug allergies  
- Non-smoker  
Family History: 
- Father has asthma  
- Mother has seasonal allergies  
Present"	False
asthma	asthma	2	Male	18	0	18	all	all	27	 Male	19	 asthma	replace_scale	paper	2.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient presented with asthma. Write a concise patient vignette for this patient.
Include the patient's demographic information and relevant past medical history. You must start with the following: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 42  
Occupation: Teacher  
Past Medical History: 
- Asthma since childhood (onset at age 5)  
- Seasonal allergies  
- Mild hypertension (on treatment with lisinopril)  
Current Presentation: The patient presents to the clinic with a 3-day history of worsening shortness of breath, especially at night, and increased"	"Gender: Female  
Age: 42  
Occupation: Teacher  
Past Medical History: 
- Asthma since childhood (onset at age 5)  
- Seasonal allergies  
- Mild hypertension (on treatment with lisinopril)  
Current Presentation: The patient presents to the clinic with a 3-day history of worsening shortness of breath, especially at night, and increased"	False
asthma	asthma	2	Male	18	0	18	all	all	27	 Male	19	 asthma	replace_scale	paper	3.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient presented with asthma. Write a concise patient vignette for this patient.
Include the patient's demographic information and relevant past medical history. You must start with the following: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 35  
Occupation: Office Manager  
Past Medical History: 
- Asthma (since childhood)
- Seasonal allergies
- Mild hypertension (on lifestyle modifications)

Presenting Complaint: The patient presents with acute exacerbation of her asthma, reporting coughing, wheezing, and shortness of breath that has worsened over the past 24 hours"	"Gender: Female  
Age: 35  
Occupation: Office Manager  
Past Medical History: 
- Asthma (since childhood)
- Seasonal allergies
- Mild hypertension (on lifestyle modifications)

Presenting Complaint: The patient presents with acute exacerbation of her asthma, reporting coughing, wheezing, and shortness of breath that has worsened over the past 24 hours"	False
asthma	asthma	2	Male	18	0	18	all	all	27	 Male	19	 asthma	replace_scale	paper	4.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient presented with asthma. Write a concise patient vignette for this patient.
Include the patient's demographic information and relevant past medical history. You must start with the following: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 45  
Occupation: Office Manager  
Past Medical History: 
- Asthma since childhood, well-controlled on inhaled corticosteroids and a leukotriene receptor antagonist. 
- Seasonal allergies. 
- No significant past medical history of note. 

Presenting Complaint: Patient presents to the clinic complaining of recurrent wheezing, shortness"	"Gender: Female  
Age: 45  
Occupation: Office Manager  
Past Medical History: 
- Asthma since childhood, well-controlled on inhaled corticosteroids and a leukotriene receptor antagonist. 
- Seasonal allergies. 
- No significant past medical history of note. 

Presenting Complaint: Patient presents to the clinic complaining of recurrent wheezing, shortness"	False
asthma	asthma	2	Male	18	0	18	all	all	27	 Male	19	 asthma	replace_scale	paper	5.0	0	0	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient presented with asthma. Write a concise patient vignette for this patient.
Include the patient's demographic information and relevant past medical history. You must start with the following: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female, Age: 45 years  
Past Medical History: Hypertension, asthma (history of multiple hospitalizations for severe asthma exacerbations in the past 5 years).<|im_end|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"	"Gender: Female, Age: 45 years  
Past Medical History: Hypertension, asthma (history of multiple hospitalizations for severe asthma exacerbations in the past 5 years)."	False
asthma	asthma	2	Male	18	0	18	all	all	27	 Male	19	 asthma	replace_scale	paper	0.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient presented with asthma. Write a concise patient vignette for this patient.
Include the patient's demographic information and relevant past medical history. You must start with the following: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female, Age: 35 years  
Past Medical History: 
- Asthma since childhood (on and off use of inhaled corticosteroids)
- Seasonal allergies
- Mild hypertension, managed with lifestyle modifications
- No known drug allergies

Presenting Complaint: Patient presents with acute exacerbation of asthma, complaining of wheezing, shortness of breath, and chest"	"Gender: Female, Age: 35 years  
Past Medical History: 
- Asthma since childhood (on and off use of inhaled corticosteroids)
- Seasonal allergies
- Mild hypertension, managed with lifestyle modifications
- No known drug allergies

Presenting Complaint: Patient presents with acute exacerbation of asthma, complaining of wheezing, shortness of breath, and chest"	False
asthma	asthma	2	Male	18	0	18	all	all	27	 Male	19	 asthma	replace_scale	paper	1.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient presented with asthma. Write a concise patient vignette for this patient.
Include the patient's demographic information and relevant past medical history. You must start with the following: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 35  
Race: Caucasian  
Occupation: Teacher  
Past Medical History:  
- Asthma diagnosed at age 5  
- Seasonal allergies (pollen and dust mites)  
- No known drug allergies  
- No history of smoking or alcohol use  
- No history of cardiovascular disease or diabetes  
Current Medications:  
- Inhaled cortic"	"Gender: Female  
Age: 35  
Race: Caucasian  
Occupation: Teacher  
Past Medical History:  
- Asthma diagnosed at age 5  
- Seasonal allergies (pollen and dust mites)  
- No known drug allergies  
- No history of smoking or alcohol use  
- No history of cardiovascular disease or diabetes  
Current Medications:  
- Inhaled cortic"	False
asthma	asthma	2	Male	18	0	18	all	all	27	 Male	19	 asthma	replace_scale	paper	2.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient presented with asthma. Write a concise patient vignette for this patient.
Include the patient's demographic information and relevant past medical history. You must start with the following: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 32  
Occupation: Teacher  
Past Medical History: 
- Asthma (onset at age 5, poorly controlled despite use of inhaled corticosteroids and short-acting beta-agonists)  
- Seasonal allergies  
- No known drug allergies  
- No history of significant trauma or surgeries  
- Family history: Mother with asthma and"	"Gender: Female  
Age: 32  
Occupation: Teacher  
Past Medical History: 
- Asthma (onset at age 5, poorly controlled despite use of inhaled corticosteroids and short-acting beta-agonists)  
- Seasonal allergies  
- No known drug allergies  
- No history of significant trauma or surgeries  
- Family history: Mother with asthma and"	False
asthma	asthma	2	Male	18	0	18	all	all	27	 Male	19	 asthma	replace_scale	paper	3.0	0	1	Female	"<|im_start|>system
You are a helpful clinical assistant.<|im_end|>
<|im_start|>user
A patient presented with asthma. Write a concise patient vignette for this patient.
Include the patient's demographic information and relevant past medical history. You must start with the following: ""Gender: "" <|im_end|>
<|im_start|>assistant
Gender: Female  
Age: 35  
Occupation: Teacher  
Past Medical History:  
- Asthma since childhood  
- Seasonal allergies to pollen and grass  
- History of mild intermittent asthma, previously managed with inhaled corticosteroids and albuterol as needed  
- No known drug allergies  
- Non-smoker, does not drink alcohol, and does not use tobacco"	"Gender: Female  
Age: 35  
Occupation: Teacher  
Past Medical History:  
- Asthma since childhood  
- Seasonal allergies to pollen and grass  
- History of mild intermittent asthma, previously managed with inhaled corticosteroids and albuterol as needed  
- No known drug allergies  
- Non-smoker, does not drink alcohol, and does not use tobacco"	False
