layer,rewrite_scores_mean,rewrite_scores_median,rewrite_scores_trimmed_mean,rewrite_scores_topk_mean,rewrite_scores_num_units
0,0.5672497172467182,0.7193697421781479,0.5849967610491101,0.907481426628687,155
1,0.002005063888754474,0.001351988027172704,0.0014633418815559783,0.0060520080056401995,155
2,0.13377856604173247,0.005487564963198477,0.06470585768980608,0.2334085234967612,155
3,0.00083890439250025,-0.00012958732343489125,-0.0002733783333079336,0.006508403369576059,155
4,0.003914048382504603,0.0012085408933701055,0.0019003845866347032,0.00968555420196505,155
5,0.0009907474176518644,0.00043779234251668374,0.0007045695587634404,0.004739033500914291,155
6,0.006395696004599575,0.0019935097425214706,0.002853052226624633,0.014090053248469549,155
7,0.013776770890380725,0.0019952634649892005,0.0028540382358557487,0.026638134001724177,155
8,0.002888948234548488,0.0015036400287382064,0.0015567270476240195,0.008080733021500931,155
9,0.000637702790658405,0.0005155376368953336,0.0003936437206274458,0.0052929210302329836,155
10,0.0038466638299144832,0.001384998906043268,0.0020800771049294974,0.008839300615733028,155
11,0.0013495587460640765,0.0008379155589688208,0.001023982598112728,0.005256871151667769,155
12,0.00514047526827777,0.0015032933844674019,0.0021513261233890306,0.011224072166988928,155
13,0.003211706661287394,0.0013289535237896828,0.002139677706420234,0.0073085281945845125,155
14,0.00547592759749943,0.0019259654706524265,0.0031041478030587565,0.010621290117982896,155
15,0.00292686613632312,0.0009387470060779203,0.0014755940812675953,0.006679985845681802,155
16,4.359369737882249e-05,0.00024081641627896215,-4.103467116355798e-05,0.003107516408687638,155
17,0.005281691966755228,0.0006049148498042937,0.0010258489090522677,0.010945997107974304,155
18,0.030439507426979952,0.0036804360487768728,0.008902522788848321,0.051978305447245805,155
19,0.017588897453789984,0.001969912648200989,0.0034880048751192738,0.029888958113007645,155
20,0.00020924252234829076,-0.00043366734058626237,-0.000774097594547748,0.00536040324036793,155
21,0.007846857606820199,0.0010757990421787385,0.001307755294080141,0.014716178288142525,155
22,-0.00048032245971288304,0.0002650783907982611,0.00030556620925740265,0.0013496776742319904,155
23,0.00022369502755637704,0.0005141296694355626,0.0006616934852561683,0.0015482358474244355,155
24,0.0007222229494987,0.0007511323498141381,0.0005177604492535398,0.001741263586426935,155
25,5.273343772732687e-05,0.0003681528952813918,0.0004663389626186788,0.0010373834035890077,155
26,0.0010379115060143774,0.0002815202359230288,0.0004322551986314312,0.002479086767441483,155
27,0.000605517444456288,0.0,0.0,0.001291776882704868,155
