prompt_id,cohort,layer,qwen_score
1,asthma,1,0.04638671875
1,asthma,2,1.0
1,asthma,3,-0.0005264282226562
1,asthma,4,0.11474609375
1,asthma,5,0.061767578125
1,asthma,6,0.65234375
1,asthma,7,0.58984375
1,asthma,8,0.26171875
1,asthma,9,-0.00897216796875
1,asthma,10,0.158203125
1,asthma,11,-0.00897216796875
1,asthma,12,0.181640625
1,asthma,13,0.181640625
1,asthma,14,0.010009765625
1,asthma,15,0.07763671875
1,asthma,16,0.0
1,asthma,17,0.11474609375
1,asthma,18,0.9921875
1,asthma,19,0.91796875
1,asthma,20,-0.0810546875
1,asthma,21,0.29296875
1,asthma,22,0.0
1,asthma,23,0.010009765625
1,asthma,24,0.010009765625
1,asthma,25,0.010009765625
1,asthma,26,0.010009765625
1,asthma,27,0.0
1,depression,1,0.0
1,depression,2,0.890625
1,depression,3,-0.0001068115234375
1,depression,4,-0.0007553100585937
1,depression,5,-0.0001068115234375
1,depression,6,0.00189208984375
1,depression,7,0.06640625
1,depression,8,0.004302978515625
1,depression,9,-0.0003585815429687
1,depression,10,0.00665283203125
1,depression,11,0.0001182556152343
1,depression,12,0.003692626953125
1,depression,13,0.001556396484375
1,depression,14,0.0002555847167968
1,depression,15,0.0002555847167968
1,depression,16,-0.0005340576171875
1,depression,17,0.0005912780761718
1,depression,18,0.70703125
1,depression,19,0.05908203125
1,depression,20,-0.0008888244628906
1,depression,21,0.003143310546875
1,depression,22,-0.0001068115234375
1,depression,23,0.0
1,depression,24,0.0
1,depression,25,0.0
1,depression,26,0.0
1,depression,27,0.0
1,multiple_sclerosis,1,-2.384185791015625e-05
1,multiple_sclerosis,2,0.0009651184082031
1,multiple_sclerosis,3,0.119140625
1,multiple_sclerosis,4,0.0009651184082031
1,multiple_sclerosis,5,0.0003509521484375
1,multiple_sclerosis,6,0.01385498046875
1,multiple_sclerosis,7,0.55859375
1,multiple_sclerosis,8,0.0007095336914062
1,multiple_sclerosis,9,0.000227928161621
1,multiple_sclerosis,10,0.0009651184082031
1,multiple_sclerosis,11,-0.0001072883605957
1,multiple_sclerosis,12,0.0005073547363281
1,multiple_sclerosis,13,0.00439453125
1,multiple_sclerosis,14,0.0001764297485351
1,multiple_sclerosis,15,0.0004234313964843
1,multiple_sclerosis,16,0.0
1,multiple_sclerosis,17,-0.0001678466796875
1,multiple_sclerosis,18,0.29296875
1,multiple_sclerosis,19,0.029052734375
1,multiple_sclerosis,20,-0.0001888275146484
1,multiple_sclerosis,21,0.00439453125
1,multiple_sclerosis,22,0.0
1,multiple_sclerosis,23,2.765655517578125e-05
1,multiple_sclerosis,24,0.0
1,multiple_sclerosis,25,0.0
1,multiple_sclerosis,26,-2.384185791015625e-05
1,multiple_sclerosis,27,0.0
1,rheumatoid_arthritis,1,-2.288818359375e-05
1,rheumatoid_arthritis,2,0.00750732421875
1,rheumatoid_arthritis,3,2.6702880859375e-05
1,rheumatoid_arthritis,4,0.0001726150512695
1,rheumatoid_arthritis,5,1.6689300537109375e-05
1,rheumatoid_arthritis,6,0.0002374649047851
1,rheumatoid_arthritis,7,0.0016403198242187
1,rheumatoid_arthritis,8,5.054473876953125e-05
1,rheumatoid_arthritis,9,-1.811981201171875e-05
1,rheumatoid_arthritis,10,0.0001001358032226
