layer,rewrite_scores_mean,rewrite_scores_median,rewrite_scores_trimmed_mean,rewrite_scores_topk_mean,rewrite_scores_num_units
0,0.6133076108281205,0.8622230037566154,0.6405849528221735,0.8814202443092201,155
1,-2.1168343474769285e-05,-6.034274326427088e-05,-6.446089894165202e-05,0.00037380483788525764,155
2,3.1765646024133675e-05,0.00010638819066732522,4.48801418343026e-05,0.00043100409539884607,155
3,3.190067691311734e-05,1.887395572397978e-05,2.559732394769638e-05,0.0004127305691156746,155
4,6.854470312234957e-05,-0.00013498944589950806,-0.0001240859414759176,0.0005037325230910273,155
5,0.0004009489426799283,0.0002659558410091596,0.00029037322632058756,0.0008398666467720403,155
6,0.00020935907545116135,4.93954857736225e-07,3.063784954305823e-05,0.0007383085193390387,155
7,-7.813081815376644e-05,-8.251845673282421e-05,-0.00018879245940927372,0.0003766685242261437,155
8,0.00011434617276200585,6.163241233744268e-05,5.959623177413735e-05,0.0005827555087487645,155
9,-0.00016285580898947014,-0.00013534029529828036,-0.000153420327461314,0.00014511031229474573,155
10,-0.000123199585397566,-8.94811270559477e-05,-0.00014574485746048495,0.00029314076116118297,155
11,0.00017755378550699547,-1.3548637469930034e-05,-3.258046144009364e-05,0.0005640041516588059,155
12,6.81849063370814e-05,-4.4114750316141234e-05,-2.6825558568356785e-05,0.00033555067170308703,155
13,-0.00019058541342556573,-0.0001077199919006577,-0.00016939523847394507,7.673233218293297e-05,155
14,1.141272470132114e-05,-2.8121530927056748e-05,1.4362566602704277e-05,0.0002744340815303486,155
15,-7.688078735021055e-05,-6.094624982177911e-05,-0.00013729934134753196,0.00020445632563042705,155
16,0.00016032841710160483,6.935279642704935e-05,7.379206895381953e-05,0.00047452602334575905,155
17,0.00023531325442585936,1.181065012896133e-05,3.660065625522159e-05,0.0005719093757685304,155
18,0.008133412644324446,0.0003921563769953566,0.0009559825562913872,0.011976938270187629,155
19,-0.00017076368098984036,-8.113935370103366e-05,-0.0001999247709090026,0.0002037223831028177,155
20,1.1471460508414505e-05,-8.149250807623649e-05,-0.0001421117727386795,0.000417280992917386,155
21,0.0010239323326793673,9.900132708642031e-05,0.00020916275693884154,0.0016507169579672726,155
22,-0.0002692585644678531,-0.00012071786054988362,-0.00022116462032971385,4.7648624771760316e-05,155
23,-0.0001959284458644517,-3.38635437430874e-05,-8.188619142921393e-05,4.682595218201318e-05,155
24,0.0001903522551588496,3.494264172097187e-05,7.091930663711162e-05,0.00035556534097106845,155
25,5.0453559122399936e-05,5.943139295859803e-05,5.536033793996187e-05,0.000237293240109769,155
26,0.00037774496210846284,7.138900823080011e-06,-1.1770819207508308e-05,0.0006742514825428545,155
27,4.761105167413115e-05,4.1972800681833176e-05,4.270535800640937e-05,0.00013612196406459696,155
28,1.3439718044026039e-05,4.015879840740273e-07,1.755400343688381e-05,0.00010772991116516671,155
29,0.0006013505129014396,8.302788774017245e-06,3.098978643686492e-05,0.0008781773504214009,155
30,0.000299625954991269,-1.231525581510317e-06,1.6660351153997759e-06,0.0005012717427340367,155
31,-4.690756114178615e-05,0.0,0.0,7.267436513336756e-06,155
