layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Condition,7::,8: asthma,9:.,"10:
",11:Create,12: a,13: short,14: patient,15: overview,16: including,17: demographic,18: first,"19:,",20: then,21: key,22: past,23: medical,24: history,25:.,26: Start,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L1,0.129211,-1.816667,-0.371561,0.314414,-0.060932,0.066691,0.192125,-0.309257,0.436185,-0.189241,0.129211,0.066691,-0.438005,0.000000,-0.183306,0.062072,-0.371561,-0.183306,0.124873,-0.189241,0.188051,0.255137,0.062072,0.314414,-0.120248,0.255137,-0.189241,-0.876446,-0.438005,-0.430401,0.377152,0.442534,-0.559611,-0.621853,-0.309257,0.004914,0.255137,0.255137,0.000000,-0.183306,-0.563931,0.688206,0.621685
L2,0.813660,1.183565,-0.060932,0.000000,-0.060932,-0.309257,-0.371561,-0.876446,-0.813389,-0.309257,-0.060932,-0.120248,0.066691,-0.250609,-0.438005,0.688206,-0.371561,0.998525,-0.371561,-0.120248,0.129211,0.247474,-0.183306,0.066691,0.192125,-0.501018,-0.813389,-0.371561,-0.995708,-0.438005,-0.563931,-1.879185,-0.183306,1.061815,-0.125819,-0.060932,0.004914,0.377152,0.000000,-0.060932,-0.371561,-0.813389,0.255137
L3,-0.125819,0.066691,-0.183306,0.000000,-0.250609,0.314414,-0.748851,-0.309257,0.314414,-0.060932,-0.120248,0.314414,0.255137,-0.125819,-0.309257,-0.563931,-0.438005,0.004914,0.442534,-0.371561,-0.309257,-0.060932,0.004914,0.255137,0.188051,-0.060932,-0.683337,-1.305857,-1.138806,-0.995708,0.314414,-0.631069,-0.183306,0.314414,-0.371561,-0.250609,-0.438005,0.314414,-0.250609,0.000000,-0.066181,-0.683337,0.567324
L4,0.062072,0.000000,-0.371561,-0.371561,-0.438005,0.377152,0.000000,-0.120248,-0.250609,0.129211,-0.683337,-0.060932,0.066691,-0.060932,-0.813389,0.124873,-0.183306,-0.183306,0.000000,0.188051,0.124873,0.000000,0.255137,0.188051,0.875055,0.626962,-0.309257,-0.250609,-0.688227,-0.060932,0.377152,-0.876446,-0.438005,0.875055,-0.309257,0.255137,-0.060932,0.314414,0.188051,0.192125,0.000000,0.436185,1.068606
L5,0.188051,0.000000,-0.250609,0.066691,-0.125819,0.497933,-0.244300,-0.055710,-1.186058,0.755216,-0.430401,-0.120248,0.066691,-0.125819,0.255137,-0.183306,-0.807849,0.000000,-0.060932,-0.438005,-0.183306,0.188051,0.066691,0.255137,0.314414,-0.060932,-0.250609,-0.496961,0.188051,-0.501018,-0.120248,-0.501018,-0.371561,0.750576,-0.748851,0.062072,-0.250609,0.129211,0.000000,-0.060932,-0.250609,-0.688227,0.423364
L6,-0.309257,-0.183306,-0.125819,0.062072,-0.250609,-1.551983,-0.120248,0.188051,0.377152,0.314414,0.124873,-0.060932,0.000000,0.129211,0.626962,0.192125,-0.438005,-0.559611,0.062072,-0.060932,-0.250609,0.129211,0.000000,0.314414,0.442534,0.693144,0.062072,-0.626451,-1.305857,-1.305857,-0.876446,0.377152,0.124873,1.313507,-0.315991,-0.120248,-0.183306,-0.183306,-0.189241,-0.621853,0.561722,-0.505091,-0.250609
L7,0.875055,0.567324,0.188051,0.004914,0.755216,1.041160,-0.060932,0.255137,0.503903,0.377152,-0.309257,-0.120248,0.124873,0.066691,0.188051,0.192125,-0.748851,-0.496961,-0.563931,0.129211,-0.120248,0.129211,-0.189241,0.066691,-0.120248,0.066691,-0.626451,-0.060932,-0.813389,-1.186058,-0.501018,-0.688227,-0.621853,-0.813389,-1.945874,-0.183306,-0.309257,0.066691,0.066691,-0.559611,-0.807849,-0.937440,1.880475
L8,0.129211,0.000000,0.124873,0.124873,0.314414,0.755216,-0.120248,0.377152,2.066421,0.192125,0.004914,-0.309257,-0.309257,0.314414,0.314414,-0.060932,-1.186058,-0.430401,-0.250609,-0.189241,-0.189241,0.377152,-0.060932,0.066691,0.066691,0.188051,0.000000,-0.250609,-0.501018,-0.183306,1.061815,2.440841,-0.250609,1.313507,-1.551983,-0.309257,-0.183306,0.247474,-0.060932,-0.496961,-0.813389,1.944497,-0.004938
L9,-0.120248,0.000000,-0.430401,-0.060932,0.062072,0.192125,-0.371561,0.124873,0.567324,0.066691,-0.438005,-0.371561,-0.060932,0.188051,-0.501018,0.255137,0.124873,-0.438005,0.000000,0.124873,0.062072,0.000000,-0.189241,-0.438005,-0.813389,-0.309257,-0.183306,0.255137,-0.060932,-0.371561,0.000000,1.005758,-0.066181,0.503903,-0.688227,0.124873,0.000000,0.129211,0.129211,-0.183306,-0.250609,-0.244300,0.363546
L10,-0.125819,0.129211,0.062072,-0.120248,0.066691,0.813660,0.192125,0.436185,0.883235,0.442534,-0.060932,0.129211,0.188051,0.129211,-0.060932,0.004914,0.188051,-0.438005,0.062072,0.000000,-0.250609,0.255137,0.377152,0.314414,0.503903,0.188051,0.066691,0.000000,-0.125819,-0.559611,0.000000,-1.305857,-0.818960,0.815841,-0.496961,-0.120248,-0.371561,0.004914,0.000000,-0.496961,1.501332,-1.624302,-0.807849
L11,0.000000,-0.060932,0.124873,0.124873,0.188051,-0.183306,-0.501018,0.124873,1.253462,0.377152,0.066691,0.004914,0.000000,-0.055710,0.503903,0.129211,0.314414,-0.371561,-0.060932,0.188051,-0.125819,0.124873,0.062072,-0.120248,0.377152,-0.125819,0.503903,0.442534,0.377152,0.066691,1.253462,4.129747,-0.631069,0.503903,-2.055068,-0.189241,-0.120248,0.004914,-0.125819,-0.244300,0.683243,2.751110,-0.189241
L12,-0.060932,-0.183306,-0.250609,0.004914,-0.430401,-0.309257,0.314414,0.129211,-2.017330,0.255137,-0.125819,-0.060932,-0.125819,-0.120248,-0.438005,-0.120248,0.188051,0.377152,0.188051,0.066691,0.129211,0.377152,-0.250609,-0.060932,-0.060932,0.066691,0.188051,0.000000,0.066691,-0.438005,0.442534,2.507228,0.561722,-0.315991,-0.876446,-0.183306,-0.189241,-0.120248,0.066691,-0.244300,1.189580,1.818487,-1.079088
L13,-0.120248,0.066691,0.000000,-0.250609,0.066691,-0.060932,-0.060932,-0.060932,-0.876446,0.503903,-0.183306,-0.183306,-0.371561,0.004914,-0.183306,0.442534,0.503903,-0.183306,0.192125,0.314414,-0.060932,-0.060932,-0.371561,0.129211,0.129211,-0.060932,-0.309257,-0.120248,-0.189241,-0.563931,0.497933,-0.626451,0.000000,0.998525,-1.252748,0.124873,-0.309257,0.000000,0.066691,-0.183306,-0.501018,0.621685,1.933157
L14,0.004914,-0.120248,-0.060932,0.000000,0.124873,-0.438005,-0.250609,0.000000,-2.017330,-0.309257,-0.626451,-0.183306,0.066691,-0.060932,0.247474,0.129211,-0.309257,-0.371561,0.188051,0.188051,0.000000,0.129211,0.000000,0.188051,0.129211,0.000000,-0.189241,0.062072,0.066691,-0.995708,-0.244300,-0.183306,-0.256958,0.813660,-1.624302,-0.183306,0.004914,0.124873,-0.438005,-0.559611,-0.438005,0.066691,-1.506522
L15,-0.183306,0.000000,-0.125819,0.000000,0.000000,-0.125819,0.066691,-0.183306,-1.064699,-0.309257,-0.183306,0.062072,-0.060932,-0.183306,-0.120248,0.000000,0.000000,0.000000,0.124873,0.188051,0.188051,-0.060932,0.000000,-0.183306,-0.125819,0.377152,-0.060932,0.000000,0.314414,-0.876446,0.062072,0.883235,0.129211,-0.496961,-0.189241,-0.060932,0.124873,-0.060932,-0.183306,-0.496961,-0.626451,1.189580,6.254912
L16,-0.120248,-0.183306,0.124873,0.062072,0.188051,-0.183306,0.124873,0.066691,-1.064699,-0.371561,0.314414,0.066691,0.124873,-0.060932,-0.309257,0.000000,0.000000,-0.501018,0.066691,0.255137,0.062072,0.066691,0.442534,0.188051,0.377152,0.436185,-0.125819,-0.125819,0.124873,-0.250609,-0.371561,-0.244300,-0.125819,0.129211,0.255137,-0.125819,0.124873,0.062072,0.000000,-0.559611,-0.244300,-1.186058,2.869627
