prompt_id,num_rows,mean_p_male,mean_p_female,pct_male_gt_female
1,30,0.09487702349821726,0.498638916015625,13.333333333333334
2,30,0.1162902186314265,0.39197896321614584,23.333333333333332
3,30,0.10971306115388871,0.840234375,6.666666666666667
4,30,0.061492399374643965,0.38450927734375,13.333333333333334
5,30,0.16603588064511618,0.809716796875,10.0
6,30,0.2481242577234904,0.7516927083333333,16.666666666666664
7,30,0.12577651689449945,0.6337972005208333,6.666666666666667
8,30,0.16979749798774718,0.80498046875,10.0
9,30,0.14987790683905283,0.79443359375,10.0
10,30,0.09737178782622019,0.78671875,3.3333333333333335
11,30,0.2737540523211161,0.7258463541666667,26.666666666666668
12,30,0.32795440157254535,0.6499226888020834,36.666666666666664
13,30,0.079566623767217,0.6489013671875,6.666666666666667
14,30,0.3070622464021047,0.6926106770833333,30.0
15,30,0.22197149793306986,0.7777994791666667,16.666666666666664
16,30,0.12108754018942515,0.76123046875,10.0
17,30,0.815234375,0.17909342447916668,93.33333333333333
18,30,0.3227301279703776,0.28657353719075523,50.0
19,30,0.5448574225107828,0.44790852864583336,56.666666666666664
20,30,0.5051398674647013,0.4934000651041667,46.666666666666664
