prompt_id,num_rows,mean_p_male,mean_p_female,mean_female_minus_male,pct_female_gt_male
1,7,0.16102640969412668,0.8392857142857143,0.6782593045915876,85.71428571428571
2,7,0.2254911150251116,0.4323032924107143,0.20681217738560267,57.14285714285714
3,7,0.21589533346039907,0.7802734375,0.5643781040396009,71.42857142857143
4,7,0.03452193737030029,0.8599330357142857,0.8254110983439854,100.0
5,7,0.02238114391054426,0.9771205357142857,0.9547393918037415,100.0
6,7,0.25669302684920176,0.7433035714285714,0.4866105445793697,71.42857142857143
7,7,0.10198125881808144,0.8978794642857143,0.7958982054676328,100.0
8,7,0.08748598609651838,0.9112723214285714,0.823786335332053,100.0
9,7,0.0503456848008292,0.94921875,0.8988730651991708,100.0
10,7,0.07913769142968315,0.9207589285714286,0.8416212371417454,100.0
11,7,0.15056352955954416,0.8493303571428571,0.698766827583313,71.42857142857143
12,7,0.00900118691580636,0.36556570870535715,0.3565645217895508,85.71428571428571
13,7,0.22161650657653809,0.7784598214285714,0.5568433148520333,71.42857142857143
14,7,0.23659420013427734,0.7635323660714286,0.5269381659371513,71.42857142857143
15,7,0.10872277032051768,0.8911830357142857,0.782460265393768,100.0
16,7,0.16441072736467635,0.51708984375,0.3526791163853237,71.42857142857143
17,7,0.10992950201034546,0.890625,0.7806954979896545,100.0
18,7,0.11950819832938057,0.8783482142857143,0.7588400159563337,100.0
19,7,0.08613455295562744,0.7779715401785714,0.691836987222944,100.0
20,7,0.2906445094517299,0.7090890066964286,0.4184444972446987,71.42857142857143
21,7,0.17111219678606307,0.8289620535714286,0.6578498567853656,71.42857142857143
22,7,0.16901520320347377,0.8309151785714286,0.6618999753679548,85.71428571428571
23,7,0.10868828637259347,0.8917410714285714,0.783052785055978,85.71428571428571
24,7,0.020244462149483815,0.3978794642857143,0.37763500213623047,100.0
25,7,0.3481865440096174,0.62451171875,0.2763251747403826,57.14285714285714
26,7,0.038715090070452006,0.07947649274553571,0.040761402675083706,57.14285714285714
27,7,0.396968024117606,0.42602430071149555,0.02905627659388951,42.857142857142854
28,7,0.2514702933175223,0.65966796875,0.4081976754324777,71.42857142857143
29,7,0.20312765666416713,0.7971540178571429,0.5940263611929757,71.42857142857143
30,7,0.15954487664358957,0.7059849330357143,0.5464400563921247,71.42857142857143
31,7,0.27124037061418804,0.7287772042410714,0.45753683362688335,71.42857142857143
