condition,prompt_id,cot_label,num_tokens,keyword,n_matches,first_idx,first_label,l18_first,last_idx,last_label,l18_last,l18_cond_mean,l18_full_mean
asthma,1,A_var1,206,asthma,2,27, asthma_27,0.9609375,65, asthma_65,0.0245361328125,0.49273681640625,0.017322947678056734
asthma,10,A_var10,209,asthma,3,26, asthma_26,0.96484375,132, asthma_132,0.5078125,0.5582682291666666,0.03733599357057416
asthma,11,C_var1,198,asthma,3,27, asthma_27,0.9140625,122, asthma_122,0.046875,0.4000651041666667,0.028622405697601012
asthma,12,C_var2,201,asthma,3,29, asthma_29,0.96484375,125, asthma_125,0.060302734375,0.5122884114583334,0.02613701511971393
asthma,13,C_var3,200,asthma,3,24, asthma_24,0.984375,123, asthma_123,0.107421875,0.4544270833333333,0.034927978515625
asthma,14,C_var4,200,asthma,3,28, asthma_28,0.94921875,124, asthma_124,0.02685546875,0.4373372395833333,0.00856201171875
asthma,15,C_var5,197,asthma,3,25, asthma_25,0.8828125,121, asthma_121,0.11767578125,0.49755859375,0.04699273278870558
asthma,16,C_var6,200,asthma,3,26, asthma_26,0.87890625,125, asthma_125,0.08984375,0.4007161458333333,-0.01816650390625
asthma,17,C_var7,203,asthma,3,27, asthma_27,0.9921875,126, asthma_126,0.1474609375,0.5270182291666666,0.023859634775246306
asthma,18,C_var8,200,asthma,3,25, asthma_25,0.98046875,125, asthma_125,0.07666015625,0.4314778645833333,0.030712890625
asthma,19,C_var9,206,asthma,3,30, asthma_30,0.859375,129, asthma_129,0.0830078125,0.4020182291666667,0.045901696658828886
asthma,2,A_var2,203,asthma,2,29, asthma_29,0.87109375,66, asthma_66,0.039794921875,0.4554443359375,0.010893422394550493
asthma,20,C_var10,200,asthma,3,26, asthma_26,0.984375,124, asthma_124,0.1474609375,0.5882161458333334,0.05373046875
asthma,3,A_var3,199,asthma,3,24, asthma_24,0.98828125,143, asthma_143,0.65234375,0.6149088541666666,0.05988683652638191
asthma,4,A_var4,209,asthma,3,28, asthma_28,0.96875,132, asthma_132,0.07763671875,0.3857421875,0.017531545538651317
asthma,5,A_var5,204,asthma,3,25, asthma_25,0.98828125,132, asthma_132,0.78125,0.6627604166666666,0.0378717160692402
asthma,6,A_var6,201,asthma,2,26, asthma_26,0.73828125,64, asthma_64,0.1259765625,0.43212890625,0.015249072022699005
asthma,7,A_var7,206,asthma,3,27, asthma_27,0.90625,133, asthma_133,0.30078125,0.4208170572916667,0.01772537972163228
asthma,8,A_var8,205,asthma,3,25, asthma_25,0.98046875,126, asthma_126,0.25390625,0.462890625,0.04366365758384146
asthma,9,A_var9,208,asthma,3,30, asthma_30,0.96875,132, asthma_132,0.2197265625,0.4944661458333333,0.038923997145432696
depression,1,A_var1,206,depression,2,27, depression_27,0.70703125,65, depression_65,0.00396728515625,0.355499267578125,0.006226437763103004
depression,10,A_var10,209,depression,3,26, depression_26,0.458984375,132, depression_132,0.11474609375,0.195556640625,0.008937123859898326
depression,11,C_var1,198,depression,3,27, depression_27,0.61328125,122, depression_122,0.01031494140625,0.23472086588541666,0.007673013089883207
depression,12,C_var2,201,depression,3,29, depression_29,0.80859375,125, depression_125,0.0235595703125,0.3577880859375,0.012793393870491294
depression,13,C_var3,200,depression,3,24, depression_24,0.80859375,123, depression_123,0.018798828125,0.2875162760416667,0.008422088623046876
depression,14,C_var4,200,depression,3,28, depression_28,0.75,124, depression_124,0.0130615234375,0.2898356119791667,0.013221359252929688
depression,15,C_var5,197,depression,3,25, depression_25,0.67578125,121, depression_121,0.04443359375,0.33642578125,0.020215339467005076
depression,16,C_var6,200,depression,3,26, depression_26,0.44921875,125, depression_125,0.0103759765625,0.18168131510416666,0.00617828369140625
depression,17,C_var7,203,depression,3,27, depression_27,0.84375,126, depression_126,0.0166015625,0.3525390625,0.01252182833666872
depression,18,C_var8,200,depression,3,25, depression_25,0.6484375,125, depression_125,0.00213623046875,0.21970621744791666,0.004886379241943359
depression,19,C_var9,206,depression,3,30, depression_30,0.48828125,129, depression_129,0.010009765625,0.18668619791666666,0.008557662223149272
depression,2,A_var2,203,depression,2,29, depression_29,0.34375,66, depression_66,0.00433349609375,0.174041748046875,0.004824821584917641
depression,20,C_var10,200,depression,3,26, depression_26,0.74609375,124, depression_124,0.01153564453125,0.30853271484375,0.009142303466796875
depression,3,A_var3,199,depression,3,24, depression_24,0.87890625,143, depression_143,0.08056640625,0.3222249348958333,0.008252781240185301
depression,4,A_var4,209,depression,3,28, depression_28,0.345703125,132, depression_132,0.007415771484375,0.118743896484375,0.004571284974020634
depression,5,A_var5,204,depression,3,25, depression_25,0.796875,132, depression_132,0.208984375,0.3451334635416667,0.0291134703393076
depression,6,A_var6,201,depression,2,26, depression_26,0.376953125,64, depression_64,0.02099609375,0.198974609375,0.010560144832478234
depression,7,A_var7,206,depression,3,27, depression_27,0.58203125,133, depression_133,0.0703125,0.22200520833333334,0.0056014570217688105
depression,8,A_var8,205,depression,3,25, depression_25,0.69921875,126, depression_126,0.0283203125,0.24552408854166666,0.006897270388719512
depression,9,A_var9,208,depression,3,30, depression_30,0.40625,132, depression_132,0.0034637451171875,0.1372833251953125,0.0037517914405235876
multiple_sclerosis,1,A_var1,208,sclerosis,2,28, sclerosis_28,0.0419921875,67, sclerosis_67,6.341934204101562e-05,0.021027803421020508,0.0002791984723164485
multiple_sclerosis,10,A_var10,212,sclerosis,3,27, sclerosis_27,0.14453125,135, sclerosis_135,0.00726318359375,0.051513671875,0.0018369206842386498
multiple_sclerosis,11,C_var1,201,sclerosis,3,28, sclerosis_28,0.2216796875,125, sclerosis_125,0.000415802001953125,0.0762494405110677,0.0019842688717059236
multiple_sclerosis,12,C_var2,204,sclerosis,3,30, sclerosis_30,0.291015625,128, sclerosis_128,0.00022125244140625,0.10017140706380208,0.0023371565575693166
multiple_sclerosis,13,C_var3,203,sclerosis,3,25, sclerosis_25,0.462890625,126, sclerosis_126,0.00017547607421875,0.1546452840169271,0.0028796172494371538
multiple_sclerosis,14,C_var4,203,sclerosis,3,29, sclerosis_29,0.376953125,127, sclerosis_127,0.000194549560546875,0.12676874796549478,0.0026185265902815193
multiple_sclerosis,15,C_var5,200,sclerosis,3,26, sclerosis_26,0.60546875,124, sclerosis_124,0.00482177734375,0.23191324869791666,0.00635650634765625
multiple_sclerosis,16,C_var6,203,sclerosis,3,27, sclerosis_27,0.220703125,128, sclerosis_128,0.0012664794921875,0.08172098795572917,0.0025111607142857145
multiple_sclerosis,17,C_var7,206,sclerosis,3,28, sclerosis_28,0.404296875,129, sclerosis_129,0.000888824462890625,0.14000574747721353,0.003320703228700508
multiple_sclerosis,18,C_var8,203,sclerosis,3,26, sclerosis_26,0.3203125,128, sclerosis_128,5.817413330078125e-05,0.10695934295654297,0.0017433236972451797
multiple_sclerosis,19,C_var9,209,sclerosis,3,31, sclerosis_31,0.42578125,132, sclerosis_132,0.0,0.15181477864583334,0.003609018462696714
multiple_sclerosis,2,A_var2,205,sclerosis,2,30, sclerosis_30,0.0286865234375,68, sclerosis_68,0.00054168701171875,0.014614105224609375,0.0005868865222465701
multiple_sclerosis,20,C_var10,203,sclerosis,3,27, sclerosis_27,0.29296875,127, sclerosis_127,0.0001220703125,0.09952799479166667,0.0018710526339526248
multiple_sclerosis,3,A_var3,202,sclerosis,3,25, sclerosis_25,0.404296875,146, sclerosis_146,0.0027618408203125,0.13748677571614584,0.0037205667778997136
multiple_sclerosis,4,A_var4,212,sclerosis,3,29, sclerosis_29,0.046875,135, sclerosis_135,0.00064849853515625,0.016019185384114582,0.0007986842461352078
multiple_sclerosis,5,A_var5,207,sclerosis,3,26, sclerosis_26,0.318359375,135, sclerosis_135,0.00144195556640625,0.10689798990885417,0.0022615257668610355
multiple_sclerosis,6,A_var6,203,sclerosis,2,27, sclerosis_27,0.169921875,66, sclerosis_66,0.013671875,0.091796875,0.004712785993303571
multiple_sclerosis,7,A_var7,209,sclerosis,3,28, sclerosis_28,0.04150390625,136, sclerosis_136,0.00064849853515625,0.01422882080078125,0.0004102533513849432
multiple_sclerosis,8,A_var8,208,sclerosis,3,26, sclerosis_26,0.1318359375,129, sclerosis_129,0.00162506103515625,0.04515838623046875,0.0010772301600529598
multiple_sclerosis,9,A_var9,211,sclerosis,3,31, sclerosis_31,0.162109375,135, sclerosis_135,0.00109100341796875,0.05518341064453125,0.0014831036752999112
rheumatoid_arthritis,1,A_var1,212,arthritis,2,30, arthritis_30,0.0009765625,71, arthritis_71,0.0,0.00048828125,0.00012260338045516105
rheumatoid_arthritis,10,A_var10,218,arthritis,3,29, arthritis_29,0.01513671875,141, arthritis_141,0.00079345703125,0.005377451578776042,0.0005861334844466744
rheumatoid_arthritis,11,C_var1,207,arthritis,3,30, arthritis_30,0.00139617919921875,131, arthritis_131,1.430511474609375e-05,0.0005016326904296875,0.00023034920439052122
rheumatoid_arthritis,12,C_var2,210,arthritis,3,32, arthritis_32,0.0020294189453125,134, arthritis_134,4.482269287109375e-05,0.0007505416870117188,0.0001659075419108073
rheumatoid_arthritis,13,C_var3,209,arthritis,3,27, arthritis_27,0.00060272216796875,132, arthritis_132,0.0,0.0002056757609049479,9.170103301271868e-05
rheumatoid_arthritis,14,C_var4,209,arthritis,3,31, arthritis_31,0.0016021728515625,133, arthritis_133,1.2874603271484375e-05,0.0005591710408528646,0.00016091771102978283
rheumatoid_arthritis,15,C_var5,206,arthritis,3,28, arthritis_28,0.11474609375,130, arthritis_130,0.005859375,0.0460205078125,0.006933341905908677
rheumatoid_arthritis,16,C_var6,209,arthritis,3,29, arthritis_29,0.0026702880859375,134, arthritis_134,0.000255584716796875,0.0011723836263020833,0.0010017322010971142
rheumatoid_arthritis,17,C_var7,212,arthritis,3,30, arthritis_30,0.005706787109375,135, arthritis_135,5.817413330078125e-05,0.001980463663736979,0.00026109533489875075
rheumatoid_arthritis,18,C_var8,209,arthritis,3,28, arthritis_28,2.6345252990722656e-05,134, arthritis_134,1.1920928955078125e-06,1.0033448537190756e-05,5.843821895179566e-06
rheumatoid_arthritis,19,C_var9,215,arthritis,3,33, arthritis_33,0.025634765625,138, arthritis_138,0.0,0.0092620849609375,0.0015429829442223837
rheumatoid_arthritis,2,A_var2,209,arthritis,2,32, arthritis_32,0.010498046875,72, arthritis_72,0.0,0.0052490234375,0.00031770587537847635
rheumatoid_arthritis,20,C_var10,209,arthritis,3,29, arthritis_29,0.000278472900390625,133, arthritis_133,0.0,0.00010538101196289062,5.525379089647503e-05
rheumatoid_arthritis,3,A_var3,208,arthritis,3,27, arthritis_27,0.00799560546875,152, arthritis_152,0.00035858154296875,0.0028088887532552085,0.00035544542165902944
rheumatoid_arthritis,4,A_var4,218,arthritis,3,31, arthritis_31,0.006439208984375,141, arthritis_141,0.0001049041748046875,0.002216339111328125,0.000446192715146126
rheumatoid_arthritis,5,A_var5,213,arthritis,3,28, arthritis_28,0.0322265625,141, arthritis_141,0.000522613525390625,0.010951995849609375,0.0010125424380593457
rheumatoid_arthritis,6,A_var6,207,arthritis,2,29, arthritis_29,0.0859375,70, arthritis_70,0.0,0.04296875,0.005372273173309179
rheumatoid_arthritis,7,A_var7,215,arthritis,3,30, arthritis_30,0.0120849609375,142, arthritis_142,0.000152587890625,0.0040938059488932295,0.00023795726687409158
rheumatoid_arthritis,8,A_var8,214,arthritis,3,28, arthritis_28,0.0081787109375,135, arthritis_135,0.0002460479736328125,0.0028444925944010415,0.00039591744681385075
rheumatoid_arthritis,9,A_var9,217,arthritis,3,33, arthritis_33,0.00762939453125,141, arthritis_141,0.000255584716796875,0.0027135213216145835,0.000690389888077837
sarcoidosis,1,A_var1,210,oid,2,28,oid_28,0.318359375,68,oid_68,0.0228271484375,0.17059326171875,0.0038732437860398063
sarcoidosis,10,A_var10,215,oid,3,27,oid_27,0.275390625,137,oid_137,0.0250244140625,0.12471516927083333,0.003568782362827035
