layer,rewrite_scores_mean,rewrite_scores_median,rewrite_scores_trimmed_mean,rewrite_scores_topk_mean,rewrite_scores_num_units
0,0.6102049451583371,0.8584264939831149,0.6392029466476663,0.9472832532766473,93
1,0.0030623824562740565,0.0021305968684534873,0.0022560732428682866,0.009563489861813072,93
2,0.15678511511805013,0.008829112334917951,0.08980272053690344,0.2736471536979881,93
3,0.0007961926468653786,-0.0002403131095311975,-0.0004979236728212921,0.00972080845986643,93
4,0.006190754781488097,0.0018584266785652407,0.00298589330262804,0.015530474062034307,93
5,0.0013611757214172585,0.0006693306789603285,0.0010075681311922662,0.0073621475141108245,93
6,0.009705914466277974,0.0032012308797528667,0.0044892319740346895,0.02182824477072685,93
7,0.01914246854199354,0.00325485134637484,0.004564128146066689,0.03787194479750903,93
8,0.0045052544159318334,0.0024260987517654253,0.002464789526591527,0.012855498038739713,93
9,0.0008966350613863412,0.0008047191045617544,0.0005634768603856365,0.00843930498673497,93
10,0.006067165724389401,0.0022012828498758296,0.003275427212609188,0.014107149540309833,93
11,0.0021364174987849724,0.00134557677853492,0.0016345583818649471,0.008471885953752797,93
12,0.00792969426206204,0.002408983886882823,0.0034397763780845813,0.017594319560621803,93
13,0.005017540926057964,0.002144903265019899,0.0034465126771799047,0.011567242342084113,93
14,0.008693708728876072,0.0031218118565056914,0.005011475186979615,0.016955987526951724,93
15,0.004700317248926212,0.001486073258102581,0.002386512266538447,0.010770914396504773,93
16,-4.090913564694649e-05,0.0003244697406727781,-0.0001476306467455386,0.004923588806583035,93
17,0.008261371789420895,0.0009493302273493942,0.0016333867152960192,0.01727126375321419,93
18,0.04506840504622059,0.005933414864283736,0.014244948957853268,0.07709749652920658,93
19,0.02673250780815643,0.003150534245275682,0.005622373266226746,0.04547805798951014,93
20,0.00026989180165744054,-0.0006953618859732023,-0.001261621952606413,0.008679361732202618,93
21,0.010976281912657461,0.001745811072728967,0.0021255836706371126,0.02092741430873939,93
22,-0.0007900881562939583,0.0004416434995589718,0.0005010346537237104,0.0022107863298026463,93
23,0.0003429096732424633,0.0008333190794913999,0.0010794349057150169,0.0025082338881748985,93
24,0.001162634484778775,0.001251466812626008,0.0008480883833150717,0.0028249731841480438,93
25,7.152701645981552e-05,0.0006122486565702705,0.0007596267069528408,0.0016909445272124371,93
26,0.0015520023725528955,0.00046832587129326276,0.00071208038962103,0.0038237374956889823,93
27,0.0009162388126195131,0.0,0.0,0.001997277386299598,93
