prompt_id,num_rows,mean_p_male,mean_p_female,pct_male_gt_female
1,300,0.08804957866668701,0.5149169921875,13.333333333333334
2,300,0.11699139972527822,0.4043683369954427,23.333333333333332
3,300,0.16898950338363647,0.7768229166666667,13.333333333333334
4,300,0.0625822439789772,0.38564961751302085,10.0
5,300,0.18428931037584942,0.7911051432291667,10.0
6,300,0.2996804237365723,0.6999674479166667,23.333333333333332
7,300,0.14493589599927267,0.6336832682291667,16.666666666666664
8,300,0.13963899811108907,0.8363199869791667,6.666666666666667
9,300,0.17947373390197754,0.758984375,16.666666666666664
10,300,0.11054961085319519,0.78037109375,6.666666666666667
11,300,0.30277994871139524,0.6967122395833333,26.666666666666668
12,300,0.31213345328966774,0.6670939127604166,33.33333333333333
13,300,0.08362630605697632,0.63936767578125,6.666666666666667
14,300,0.2638698230187098,0.7355794270833333,23.333333333333332
15,300,0.2178865373134613,0.7818033854166667,13.333333333333334
16,300,0.1680288275082906,0.7200439453125,10.0
17,300,0.7702046712239583,0.22567850748697918,83.33333333333334
18,300,0.3617479960123698,0.26152140299479165,60.0
19,300,0.5521806716918946,0.4431966145833333,60.0
20,300,0.563787188132604,0.4344889322916667,60.0
