prompt_id,num_rows,mean_p_male,mean_p_female,mean_female_minus_male,pct_female_gt_male
1,7,2.8586946427822113e-06,0.8571428571428571,0.8571399984482143,100.0
2,7,8.891735758100236e-06,0.9174107142857143,0.9174018225499562,100.0
3,7,6.378445375178542e-06,0.9481026785714286,0.9480963001260534,100.0
4,7,5.9576572052070075e-05,0.98046875,0.980409173427948,100.0
5,7,4.865611637277263e-05,0.9737723214285714,0.9737236653121987,100.0
6,7,3.1956005841493607e-07,0.9486607142857143,0.9486603947256559,100.0
7,7,7.70627853593656e-08,0.9185267857142857,0.9185267086515003,100.0
8,7,5.290261469781399e-06,0.9793526785714286,0.9793473883099588,100.0
9,7,7.145905068942479e-06,0.9676339285714286,0.9676267826663596,100.0
10,7,1.471689237015588e-06,0.9760044642857143,0.9760029925964773,100.0
11,7,3.800960257649422e-08,0.9447544642857143,0.9447544262761117,100.0
12,7,1.873388620359557e-06,0.9637276785714286,0.9637258051828083,100.0
13,7,1.0460748204163142e-07,0.86328125,0.863281145392518,100.0
14,7,3.332361978079591e-05,0.9542410714285714,0.9542077478087906,100.0
15,7,7.531572399394853e-07,0.9598214285714286,0.9598206754141886,100.0
16,7,2.5615944260997434e-07,0.8973214285714286,0.897321172411986,100.0
17,7,7.512114409889494e-08,0.9051339285714286,0.9051338534502845,100.0
18,7,1.4717291508402144e-05,0.9827008928571429,0.9826861755656344,100.0
19,7,1.8884560891560146e-06,0.97265625,0.9726543615439108,100.0
20,7,4.470847280962127e-07,0.9291294642857143,0.9291290172009862,100.0
21,7,1.937683139528547e-06,0.96484375,0.9648418123168605,100.0
22,7,7.383099624088832e-05,0.8303571428571429,0.830283311860902,100.0
23,7,5.859349455152239e-07,0.9659598214285714,0.965959235493626,100.0
24,7,0.0013274465288434709,0.17742810930524552,0.17610066277640207,100.0
25,7,0.0009437586580004011,0.765625,0.7646812413419996,100.0
26,7,0.0010174342564174107,0.0021514892578125,0.0011340550013950893,85.71428571428571
27,7,3.0517578125e-05,4.361357007707868e-05,1.3095991952078684e-05,100.0
28,7,3.432801791599819e-05,0.91015625,0.910121921982084,100.0
29,7,2.546901149409158e-06,0.96484375,0.9648412030988506,100.0
30,7,0.056065150669642856,0.39571707589285715,0.3396519252232143,100.0
31,7,5.557434633374214e-06,0.9497767857142857,0.9497712282796523,100.0
