layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prep,7:are,8: a,9: brief,10: patient,11: presentatio,12: for,13: multiple,14: sclerosis,15:.,"16:
",17:Prior,18:it,19:ize,20: demographic,21: information,22: followed,23: by,24: major,25: PM,26:H,27:.,28: Begin,29: exactly,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L16,-0.083382,-0.034887,-0.095882,-0.028988,-0.095882,-0.040822,-0.028988,-0.040822,-0.040822,-0.040822,-0.034887,-0.034887,0.055570,0.060961,0.552242,0.092709,-0.134348,-0.095882,0.050150,-0.160840,-0.005731,-0.064920,0.087487,0.060961,0.000000,-0.028988,-0.114930,-0.058840,0.050150,-0.064920,0.022600,0.092709,0.039221,-0.274437,0.123481,-0.320599,0.123481,0.028171,0.148420,0.022600,0.033711,-0.364872,-0.324544,-0.160840,-0.058840
L17,-0.127833,-0.064920,-0.102191,-0.071036,0.118418,-0.028988,-0.028988,-0.134348,-0.134348,-0.011494,0.028171,-0.127833,-0.160840,-0.011494,0.273293,-0.058840,0.022600,0.022600,-0.028988,-0.127833,0.087487,0.022600,0.055570,-0.102191,-0.028988,0.028171,0.005698,-0.102191,-0.089612,0.055570,-0.034887,-0.028988,-0.127833,0.615958,0.148420,-0.348545,-0.473438,-0.028988,-0.064920,-0.040822,-0.028988,-0.083382,-0.441833,0.196506,-0.028988
L18,0.060961,0.028171,-0.034887,0.000000,-0.102191,-0.095882,-0.005731,0.028171,-0.040822,-0.034887,0.050150,0.060961,-0.121361,0.016998,5.421773,0.411163,-0.134348,-0.095882,0.028171,-0.095882,0.028171,0.128519,0.138519,0.005698,-0.071036,0.000000,0.097904,-0.089612,0.097904,-0.011494,0.066323,0.158224,0.177548,3.669114,0.133531,-0.121361,-0.402612,-0.252131,0.033711,-0.154151,-0.095882,-0.181179,0.260164,0.153334,0.418710
L19,-0.127833,-0.208959,-0.064920,-0.095882,-0.127833,0.123481,-0.095882,-0.034887,0.000000,0.060961,0.128519,0.066323,-0.064920,-0.040822,-0.252131,-0.194973,-0.011494,-0.034887,0.022600,-0.011494,-0.052798,-0.089612,0.087487,-0.005731,-0.071036,-0.102191,0.158224,0.033711,0.055570,0.028171,-0.028988,-0.028988,-0.297252,0.609766,0.187072,0.177548,-0.174353,-0.201941,0.033711,-0.005731,0.005698,-0.160840,0.344602,-0.011494,1.223775
L20,0.028171,-0.154151,-0.071036,-0.028988,0.000000,-0.154151,-0.011494,-0.064920,-0.064920,-0.011494,-0.005731,-0.160840,-0.071036,-0.095882,-0.711610,-0.237532,-0.064920,-0.040822,-0.034887,-0.064920,-0.028988,-0.071036,-0.064920,0.055570,-0.102191,0.022600,-0.064920,-0.005731,-0.095882,0.022600,-0.040822,-0.194973,-0.223144,-0.095882,0.281951,-0.160840,0.044700,0.022600,0.028171,-0.095882,0.123481,-0.114930,0.233377,-0.459770,3.912137
L21,0.033711,0.028171,-0.011494,-0.064920,-0.102191,-0.040822,-0.102191,-0.011494,-0.089612,-0.154151,-0.102191,0.060961,-0.095882,0.033711,2.161022,0.097904,-0.005731,0.000000,0.000000,0.022600,-0.064920,0.028171,-0.005731,0.000000,0.033711,0.022600,-0.095882,-0.064920,-0.154151,-0.064920,0.055570,-0.011494,-0.102191,0.670025,0.066323,-0.046792,-0.223144,-0.160840,-0.034887,-0.040822,0.039221,-0.274437,-0.266946,-0.046792,3.596608
L22,-0.005731,-0.034887,-0.064920,-0.071036,-0.102191,0.022600,-0.071036,0.000000,-0.064920,-0.005731,-0.167574,-0.095882,-0.095882,0.022600,-0.428588,-0.424211,-0.064920,-0.064920,-0.005731,-0.005731,-0.040822,-0.064920,-0.028988,-0.064920,0.028171,-0.071036,-0.064920,-0.058840,0.022600,-0.095882,0.028171,-0.040822,-0.028988,0.033711,-0.102191,-0.034887,0.082238,-0.040822,0.092709,-0.034887,-0.040822,-0.208959,0.113329,-0.154151,1.288839
L23,0.022600,0.022600,-0.040822,-0.064920,-0.216026,-0.064920,-0.034887,0.000000,0.055570,-0.005731,-0.127833,-0.064920,-0.160840,0.005698,-0.482655,-0.348545,-0.102191,-0.071036,0.000000,-0.005731,-0.064920,0.000000,-0.064920,-0.034887,-0.028988,-0.064920,-0.040822,0.028171,0.000000,0.028171,-0.005731,-0.040822,-0.415515,0.039221,0.336472,-0.102191,-0.064920,-0.040822,0.005698,-0.095882,-0.052798,-0.005731,-0.411196,0.050150,1.319849
L24,0.000000,-0.154151,-0.040822,0.016998,-0.005731,0.937773,0.000000,-0.005731,-0.064920,-0.011494,-0.064920,-0.005731,-0.011494,-0.028988,0.418710,-0.005731,0.000000,-0.005731,0.000000,0.000000,-0.011494,0.028171,-0.011494,-0.005731,-0.028988,0.028171,0.028171,-0.064920,0.000000,-0.028988,0.000000,-0.040822,0.000000,0.388174,0.281951,0.066323,-0.011494,-0.064920,0.033711,-0.127833,0.092709,-0.478036,-0.127833,0.426201,5.758830
L25,0.060961,-0.040822,-0.071036,-0.071036,-0.102191,-0.028988,0.000000,-0.028988,-0.034887,-0.005731,0.000000,-0.064920,-0.064920,-0.034887,1.223775,0.087487,-0.005731,-0.095882,-0.028988,-0.064920,0.082238,-0.064920,-0.064920,-0.034887,0.000000,0.000000,-0.064920,-0.034887,-0.005731,0.022600,-0.064920,0.022600,0.113329,0.775385,0.082238,0.055570,-0.071036,-0.011494,0.087487,0.022600,0.158224,-0.304974,-0.040822,-0.208959,4.783245
L26,0.113329,0.050150,0.022600,-0.005731,-0.154151,-0.028988,-0.005731,0.022600,0.000000,0.000000,0.000000,-0.005731,0.022600,-0.005731,-0.102191,0.028171,0.000000,0.000000,0.000000,-0.034887,-0.034887,0.000000,0.000000,0.000000,-0.028988,0.000000,0.022600,0.000000,0.000000,-0.034887,0.022600,0.028171,0.103072,-0.147506,0.153334,0.050150,-0.005731,-0.005731,0.123481,0.028171,0.082238,-0.259511,0.060961,-0.230312,12.253510
L27,-0.028988,-0.028988,-0.005731,0.022600,0.028171,0.000000,0.022600,-0.028988,-0.005731,-0.034887,0.000000,0.022600,0.000000,0.000000,0.578217,0.022600,0.028171,0.000000,0.000000,-0.005731,0.000000,0.022600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028171,0.000000,0.000000,-0.005731,0.000000,0.028171,0.044700,-0.005731,0.000000,-0.028988,0.033711,0.028171,0.167933,-0.506075,0.055570,-0.114930,4.174387
L28,-0.034887,-0.034887,0.000000,-0.028988,-0.034887,0.000000,0.022600,-0.028988,-0.005731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.028988,0.000000,0.000000,-0.005731,0.000000,0.000000,-0.005731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.028988,0.000000,0.000000,-0.089612,0.022600,0.076961,-0.028988,0.000000,0.000000,-0.034887,0.000000,0.201190,-0.579818,-0.011494,-0.147506,8.809121
L29,-0.011494,-0.034887,0.000000,0.022600,-0.095882,-0.034887,-0.034887,-0.005731,0.000000,0.000000,-0.005731,0.000000,0.000000,0.022600,-0.005731,-0.005731,0.022600,0.000000,-0.005731,-0.005731,-0.005731,-0.005731,0.000000,0.000000,0.000000,-0.034887,-0.034887,-0.034887,-0.005731,-0.028988,0.000000,0.000000,0.000000,-0.040822,0.000000,-0.005731,-0.005731,0.022600,0.028171,0.000000,0.060961,-0.664976,0.060961,0.060961,7.328025
L30,0.060961,0.066323,-0.005731,0.022600,-0.127833,0.000000,-0.005731,0.028171,0.000000,0.000000,-0.005731,0.000000,0.000000,-0.005731,-0.011494,0.000000,-0.011494,0.000000,-0.005731,0.000000,0.000000,-0.005731,-0.005731,0.000000,-0.005731,0.022600,-0.005731,0.028171,0.028171,0.022600,0.000000,0.022600,-0.011494,-0.005731,-0.005731,0.000000,0.000000,0.022600,0.022600,0.022600,0.022600,-0.373136,0.050150,-0.095882,11.772015
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.077991
