layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Condition,7::,8: sarc,9:oid,10:osis,11:.,"12:
",13:Create,14: a,15: short,16: patient,17: overview,18: including,19: demographic,20: first,"21:,",22: then,23: key,24: past,25: medical,26: history,27:.,28: Start,29: exactly,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L1,0.561322,-0.569626,0.058043,0.249099,0.123521,-0.061621,-0.003992,0.123521,0.000000,4.502506,-0.501572,-0.065867,0.191575,0.184974,-0.192734,0.184974,0.123521,0.184974,-0.127290,-0.127290,-0.003992,-0.315967,0.184974,0.315189,-0.065867,-0.065867,0.184974,0.309358,0.184974,-0.377958,-0.377958,-0.247338,0.315189,0.191575,0.065534,0.065534,-0.061621,0.440694,0.249099,0.123521,-0.003992,-0.003992,-0.437856,0.435552,0.556766
L2,0.303493,0.485814,-0.061621,0.065534,0.123521,0.065534,0.065534,-0.065867,-0.377958,0.435552,0.058043,0.058043,0.000000,-0.061621,0.184974,0.123521,-0.065867,0.561322,-0.252453,0.377180,-0.065867,-0.187915,0.000000,0.058043,0.000000,0.123521,0.065534,-0.065867,-0.257595,-0.127290,-0.321446,-0.003992,-0.377958,-0.815922,-0.187915,0.500413,-0.377958,0.123521,0.130539,0.123521,-0.003992,-0.003992,0.058043,-0.377958,0.184974
L3,0.123521,-0.061621,-0.187915,0.065534,-0.187915,0.065534,0.000000,-0.003992,-0.187915,-0.192734,0.876464,0.435552,0.191575,0.123521,0.242868,0.058043,0.065534,0.430384,-0.065867,-0.127290,0.377180,-0.127290,-0.315967,0.000000,0.000000,0.000000,0.191575,-0.061621,-0.187915,-0.815922,-0.501572,-0.569626,0.435552,-0.444048,0.123521,0.123521,-0.187915,0.249099,-0.065867,0.249099,-0.187915,0.123521,0.242868,-0.689171,0.565857
L4,0.123521,0.000000,-0.187915,0.184974,-0.122776,0.249099,0.184974,-0.003992,0.003976,1.940202,1.435843,0.249099,-0.122776,0.065534,0.000000,0.058043,-0.315967,0.123521,-0.122776,0.058043,0.249099,0.371701,0.058043,0.123521,0.184974,-0.008000,0.749309,0.315189,-0.127290,-0.252453,-0.315967,-0.187915,0.440694,0.058043,0.123521,0.435552,0.184974,0.500413,0.000000,0.123521,-0.003992,0.065534,-0.192734,0.807827,1.385298
L5,0.249099,0.184974,-0.061621,0.249099,0.065534,0.249099,-0.252453,-0.437856,-0.187915,1.117034,0.249099,1.001042,0.123521,0.184974,0.249099,-0.187915,0.184974,0.065534,-0.187915,0.309358,-0.003992,-0.003992,0.065534,-0.061621,0.000000,0.249099,0.309358,0.123521,0.065534,-0.187915,0.309358,-0.061621,0.123521,0.249099,-0.127290,0.741747,-0.437856,0.184974,-0.127290,0.000000,0.058043,-0.127290,-0.127290,-0.074414,0.355080
L6,0.123521,0.065534,-0.065867,-0.065867,0.058043,-1.131003,-0.003992,-0.377958,0.065534,1.122235,0.495570,0.928172,0.377180,0.184974,0.123521,0.000000,0.561322,-0.187915,-0.065867,-0.252453,-0.257595,-0.003992,-0.003992,0.184974,-0.003992,0.371701,0.065534,0.377180,0.249099,-0.315967,-0.754768,-0.508173,-0.815922,0.309358,0.123521,0.995168,-0.321446,0.249099,-0.003992,0.065534,0.123521,-0.310517,0.249099,-0.697139,0.565857
L7,0.807827,0.377180,0.058043,0.123521,0.500413,1.122235,0.184974,0.058043,0.435552,-0.061621,0.249099,0.627280,0.184974,0.123521,0.123521,0.000000,0.065534,-0.187915,-0.187915,-0.315967,-0.377958,0.000000,-0.065867,-0.127290,-0.127290,0.123521,-0.061621,0.000000,-0.315967,-0.187915,-0.377958,-0.754768,-0.444048,0.440694,-0.127290,-0.693147,-0.815922,0.058043,0.000000,0.123521,0.000000,-0.187915,-0.562608,-0.252453,1.248771
L8,0.065534,0.123521,0.309358,0.309358,0.315189,0.749309,-0.061621,0.315189,0.565857,2.755258,1.691990,0.435552,0.065534,0.123521,0.000000,0.249099,0.435552,-0.061621,-0.950742,-0.377958,-0.252453,-0.065867,-0.187915,0.184974,0.000000,0.123521,0.255291,0.123521,0.123521,-0.065867,-0.008000,0.058043,0.685147,2.255685,0.123521,1.063473,-0.689171,0.065534,0.065534,0.123521,0.123521,-0.315967,-0.754768,1.127410,0.689155
L9,0.065534,0.000000,1.001042,0.123521,0.184974,0.377180,0.000000,-0.003992,0.623015,0.500413,0.500413,0.500413,0.058043,-0.061621,0.184974,0.249099,-0.127290,0.191575,-0.003992,-0.444048,0.123521,0.116454,-0.252453,0.058043,-0.187915,-0.003992,-0.377958,-0.310517,0.065534,0.184974,-0.065867,0.000000,-0.065867,1.377290,0.556766,0.249099,-0.003992,0.058043,0.249099,0.000000,0.249099,0.000000,-0.187915,0.500413,0.360651
L10,0.065534,0.184974,0.123521,0.315189,0.191575,0.500413,0.065534,0.500413,0.123521,0.749309,1.001042,0.315189,0.249099,0.123521,0.065534,0.065534,0.065534,0.000000,0.184974,-0.310517,0.123521,-0.003992,-0.065867,0.249099,0.065534,0.123521,0.249099,-0.003992,0.184974,0.058043,-0.127290,-0.315967,-0.003992,-0.437856,-0.389654,0.495570,-0.437856,0.249099,-0.127290,-0.061621,-0.122776,-0.252453,0.435552,-1.131003,-0.252453
