layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Output,7: a,8: single,9: chart,10:-,11:style,12: line,13: for,14: multiple,15: sclerosis,16: using,17: this,18: pattern,19::,20: demographic,21: |,22: PM,23:H,24:.,25: Begin,26: exactly,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L1,0.015748,0.100585,-0.154147,-0.054360,-0.026811,-0.016000,0.226309,0.356668,0.026111,0.076371,0.183199,0.041456,-0.172839,-0.010638,0.105358,0.156412,0.263579,0.061557,-0.043249,0.051557,0.066519,0.160927,-0.065596,-0.088453,0.133529,-0.147993,0.138147,0.100585,0.119543,-0.037739,-0.037739,0.183199,0.010526,0.056569,-0.037739,0.061557,0.031252,0.046519,0.056569,-0.021391,0.046519,-0.160339
L2,0.000000,-0.105946,-0.160339,-0.043249,-0.048789,-0.065596,0.020943,0.119543,-0.105946,0.385867,0.090970,0.230519,0.400153,-0.065596,0.100585,-0.016000,0.124226,0.119543,-0.005305,0.165421,-0.123750,-0.179148,0.020943,-0.351388,0.081261,0.100585,0.114837,-0.005305,0.010526,0.196328,0.015748,0.318928,-0.054360,-0.043249,-0.021391,0.061557,0.000000,0.061557,0.124226,0.081261,0.046519,-0.016000
L3,-0.026811,0.020943,-0.123750,-0.005305,0.031252,-0.088453,0.275700,0.165421,0.041456,0.682498,0.187595,0.759656,0.407220,0.311207,0.010526,0.000000,0.222080,0.036367,-0.043249,0.156412,0.081261,0.160927,0.041456,-0.111846,-0.160339,0.128888,0.066519,0.090970,0.128888,-0.088453,0.031252,0.213570,0.275700,0.026111,-0.123750,0.056569,0.015748,-0.037739,0.046519,0.015748,0.036367,0.187595
L4,0.046519,0.041456,-0.123750,0.015748,-0.037739,-0.010638,0.160927,0.090970,-0.105946,-0.005305,0.081261,0.593054,0.046519,0.259506,0.151877,0.110109,0.110109,0.056569,0.393035,0.095789,-0.065596,0.234712,0.066519,-0.271927,-0.059962,0.341743,0.086127,0.133529,0.364048,0.020943,0.026111,0.110109,0.462027,0.036367,-0.285913,-0.048789,0.056569,0.031252,-0.065596,0.259506,-0.076959,0.142745
L5,-0.141877,-0.065596,-0.100081,0.000000,0.051557,-0.231106,0.036367,0.056569,-0.111846,-0.105946,-0.032260,0.660875,-0.094250,0.076371,0.156412,-0.071261,-0.135798,0.041456,0.238887,0.020943,-0.059962,-0.179148,-0.065596,-0.343898,0.036367,0.267636,0.026111,0.026111,0.178784,0.178784,0.151877,0.095789,0.341743,-0.094250,-0.217861,-0.005305,0.015748,0.061557,0.015748,0.165421,0.031252,-0.147993
L6,0.026111,0.031252,0.051557,0.026111,0.020943,-0.082690,-0.123750,-0.111846,0.081261,0.090970,-0.129756,0.341743,0.371374,-0.179148,0.105358,0.551257,0.267636,-0.048789,-0.071261,0.010526,-0.010638,0.356668,0.061557,-0.523233,-0.445944,-0.123750,0.051557,0.000000,0.010526,-0.082690,0.066519,0.046519,0.066519,-0.135798,-0.343898,-0.010638,0.015748,-0.016000,0.056569,-0.135798,-0.198317,0.271676
L7,-0.016000,-0.021391,0.046519,0.095789,0.086127,1.293478,-0.043249,-0.026811,-0.172839,0.187595,-0.005305,0.455338,0.191971,0.128888,0.056569,0.213570,-0.059962,-0.005305,0.178784,-0.048789,-0.043249,0.071457,0.071457,-0.244529,-0.358935,-0.032260,0.114837,0.147322,0.095789,0.222080,-0.026811,-0.021391,0.005277,0.000000,-0.129756,0.046519,0.031252,-0.021391,-0.016000,-0.129756,-0.105946,0.334196
L8,0.056569,0.041456,-0.032260,0.036367,0.015748,-0.026811,0.174350,-0.021391,-0.071261,0.151877,0.095789,0.247186,0.318928,0.178784,-0.043249,0.434999,-0.043249,0.026111,0.230519,0.026111,-0.129756,0.243045,0.119543,-0.111846,-0.117780,0.031252,0.036367,-0.076959,0.020943,0.026111,0.026111,0.010526,0.133529,-0.123750,-0.016000,0.061557,0.005277,0.041456,0.090970,-0.129756,0.217834,0.393035
L9,0.010526,0.031252,0.990687,0.010526,0.020943,0.031252,-0.005305,-0.065596,-0.071261,0.026111,0.100585,0.407220,0.475272,0.056569,-0.048789,0.026111,-0.076959,0.056569,0.291637,0.041456,-0.198317,-0.016000,0.095789,-0.321758,-0.172839,0.026111,0.031252,0.051557,0.247186,0.095789,0.051557,0.105358,0.086127,0.086127,-0.048789,-0.054360,0.005277,0.036367,-0.021391,0.200667,-0.154147,-0.437714
L10,0.026111,0.015748,-0.016000,0.000000,0.031252,0.041456,0.000000,0.026111,0.031252,0.133529,0.026111,0.507637,0.165421,0.056569,-0.016000,0.010526,0.026111,-0.032260,0.066519,0.147322,0.187595,-0.065596,0.046519,-0.037739,-0.010638,0.020943,0.041456,0.056569,0.191971,0.147322,0.056569,-0.010638,0.036367,-0.094250,0.279708,0.100585,0.005277,0.046519,-0.076959,0.138147,0.036367,0.299511
L11,0.056569,0.026111,0.046519,0.031252,-0.026811,0.056569,0.026111,0.010526,0.124226,-0.016000,0.020943,0.086127,-0.048789,-0.300097,0.051557,0.015748,0.000000,-0.005305,0.041456,-0.191886,0.217834,-0.191886,0.051557,-0.179148,-0.016000,-0.088453,-0.021391,0.026111,0.200667,0.279708,0.086127,-0.147993,0.020943,0.283700,-0.100081,0.010526,0.046519,-0.032260,-0.032260,0.010526,-0.059962,-0.204789
L12,0.020943,0.026111,0.020943,0.015748,-0.037739,0.090970,0.046519,0.046519,0.128888,0.000000,-0.005305,-0.082690,0.311207,0.114837,0.000000,-0.037739,0.165421,0.020943,-0.026811,-0.088453,-0.054360,-0.141877,0.041456,0.105358,0.105358,-0.048789,-0.021391,-0.154147,-0.054360,0.147322,0.200667,0.076371,-0.154147,-0.005305,-0.237795,0.036367,-0.010638,0.066519,0.066519,0.462027,-0.105946,-0.321758
L13,0.026111,0.026111,-0.021391,0.010526,-0.032260,0.036367,0.015748,-0.059962,0.110109,-0.100081,-0.032260,0.086127,0.100585,-0.179148,0.095789,-0.005305,0.061557,-0.043249,0.056569,-0.005305,0.142745,0.090970,0.056569,-0.191886,0.138147,0.056569,-0.005305,-0.123750,0.090970,0.051557,0.128888,-0.021391,0.010526,0.174350,-0.237795,0.015748,0.031252,0.051557,0.046519,0.133529,0.076371,0.010526
L14,0.076371,0.051557,0.005277,0.031252,-0.071261,-0.016000,-0.010638,-0.135798,-0.037739,-0.105946,-0.032260,0.015748,0.010526,0.031252,0.000000,-0.154147,0.110109,0.020943,0.015748,0.026111,-0.100081,0.076371,0.026111,-0.076959,0.076371,-0.059962,0.046519,-0.026811,0.124226,0.015748,-0.094250,0.015748,-0.088453,-0.166569,-0.129756,0.076371,0.026111,-0.010638,0.081261,-0.105946,0.076371,0.299511
L15,0.020943,0.005277,0.071457,0.015748,0.086127,0.036367,0.015748,0.010526,0.071457,0.026111,0.046519,-0.160339,0.031252,-0.059962,0.081261,-0.005305,-0.043249,-0.021391,0.133529,0.000000,0.005277,-0.185497,0.081261,-0.179148,-0.005305,0.086127,0.000000,0.036367,0.110109,0.041456,0.124226,0.147322,0.119543,0.142745,-0.123750,0.051557,0.000000,0.071457,-0.054360,0.138147,0.081261,0.326591
L16,0.076371,0.046519,-0.010638,-0.005305,0.010526,-0.005305,0.005277,0.000000,0.046519,-0.166569,-0.010638,0.000000,0.119543,-0.117780,-0.032260,-0.005305,-0.088453,0.000000,0.000000,0.095789,0.226309,-0.237795,0.046519,-0.016000,0.051557,0.066519,-0.043249,-0.032260,0.071457,-0.191886,0.026111,-0.043249,-0.026811,0.056569,-0.172839,0.061557,0.026111,0.081261,-0.587769,0.267636,0.393035,0.569384
