layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Condition,7::,8: depression,9:.,"10:
",11:Create,12: a,13: short,14: patient,15: overview,16: including,17: demographic,18: first,"19:,",20: then,21: key,22: past,23: medical,24: history,25:.,26: Start,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L19,-0.065958,-0.124454,-0.128478,-0.128478,-0.190868,0.187038,-0.128478,-0.252835,-0.318897,-0.190868,-0.252835,0.000000,-0.065958,-0.128478,-0.065958,0.244197,-0.128478,-0.190868,0.000000,-0.190868,0.120144,0.000000,-0.128478,-0.128478,-0.065958,-0.252835,0.187038,0.120144,0.061875,-0.124454,-0.437900,0.308735,0.374250,0.000000,0.000000,-0.443409,-0.186586,-0.065958,0.000000,0.061875,-0.318897,0.126414,1.429666
L20,-0.128478,-0.190868,0.000000,0.061875,-0.124454,-0.252835,0.000000,0.308735,-0.997514,-0.314031,-0.128478,-0.065958,0.000000,0.000000,-0.128478,-0.007117,0.000000,-0.252835,0.061875,-0.065958,-0.128478,-0.065958,-0.065958,-0.065958,-0.124454,-0.007117,-0.128478,-0.065958,0.000000,0.120144,0.000000,-1.131045,0.000000,-0.252835,-0.374048,-0.065958,0.120144,-0.065958,0.120144,0.379116,0.120144,-1.880701,5.729569
L21,0.000000,0.187038,-0.065958,-0.252835,-0.252835,0.061875,-0.065958,0.249737,3.126199,1.001882,0.249737,0.000000,0.187038,0.249737,1.251749,0.497977,0.497977,0.497977,-0.065958,0.249737,0.000000,-0.065958,-0.065958,-0.065958,0.181139,-0.314031,-0.128478,-0.065958,-0.190868,0.120144,0.374250,5.255609,0.497977,0.308735,0.126414,-0.128478,-0.128478,0.000000,-0.190868,-0.186586,-0.314031,0.748333,8.229084
L22,-0.128478,-0.065958,-0.065958,-0.065958,-0.252835,-0.128478,0.000000,-0.190868,-1.953021,-0.751557,-0.379216,-0.065958,-0.128478,-0.007117,-1.067194,-0.252835,-0.128478,-0.693146,-0.065958,-0.379216,-0.065958,-0.128478,-0.128478,-0.314031,-0.252835,-0.190868,0.000000,-0.186586,0.000000,-0.128478,-0.437900,-0.566732,-0.065958,0.000000,-0.190868,-0.318897,0.055186,-0.190868,-0.252835,0.061875,-0.506108,-1.259878,2.742439
L23,-0.128478,-0.065958,-0.190868,-0.065958,-0.190868,-0.065958,0.000000,-0.128478,-1.813260,-0.624626,-0.128478,-0.128478,-0.128478,-0.128478,-0.751557,-0.065958,-0.065958,-0.065958,0.000000,-0.379216,-0.124454,0.000000,-0.128478,-0.065958,-0.128478,-0.128478,-0.065958,-0.128478,-0.128478,-0.128478,-0.693146,-1.690659,0.126414,-0.065958,-0.379216,-0.190868,-0.190868,-0.128478,0.000000,-0.186586,-0.624626,-0.941425,-0.679061
L24,0.000000,-0.065958,0.000000,-0.128478,-0.128478,0.806982,0.000000,-0.128478,0.000000,-0.190868,-0.128478,-0.065958,0.120144,-0.128478,-0.065958,-0.252835,-0.065958,-0.190868,-0.065958,-0.128478,-0.065958,-0.128478,-0.065958,-0.065958,-0.190868,-0.128478,-0.128478,-0.128478,0.000000,-0.065958,-0.065958,0.937344,0.313930,0.120144,0.000000,-0.065958,0.000000,0.000000,0.249737,-0.058411,-0.190868,-0.065958,4.215431
L25,-0.065958,0.000000,-0.065958,-0.065958,-0.124454,0.000000,0.000000,-0.065958,1.562985,0.308735,-0.065958,-0.065958,0.055186,0.000000,0.181139,0.000000,0.000000,0.000000,-0.007117,0.061875,0.000000,-0.065958,0.000000,0.126414,-0.065958,0.000000,-0.128478,-0.128478,0.061875,-0.065958,-0.124454,1.631878,0.435735,0.061875,0.000000,0.061875,-0.128478,-0.065958,0.181139,-0.124454,0.369360,-0.637960,4.028007
L26,-0.007117,0.055186,0.000000,-0.065958,-0.065958,-0.065958,0.000000,0.000000,-0.879732,-0.379216,-0.065958,-0.128478,-0.190868,-0.065958,-0.379216,-0.065958,0.000000,-0.128478,-0.065958,-0.128478,0.000000,-0.065958,-0.065958,-0.128478,-0.065958,0.000000,0.000000,0.000000,0.000000,-0.065958,-0.065958,-0.314031,0.249737,0.000000,-0.190868,0.000000,0.061875,0.000000,0.126414,-0.182321,-0.500243,-0.506108,9.156008
L27,-0.065958,-0.065958,0.000000,0.000000,0.000000,0.000000,0.061875,0.000000,0.000000,0.061875,0.000000,0.000000,0.061875,0.000000,0.000000,0.000000,-0.065958,0.000000,0.000000,0.000000,0.000000,-0.065958,0.000000,0.000000,0.061875,0.000000,0.000000,0.061875,0.000000,0.000000,-0.128478,0.187038,0.249737,-0.065958,0.061875,0.061875,0.061875,0.055186,0.061875,-0.120446,0.249737,-0.252835,4.241887
L28,0.000000,0.000000,0.000000,0.000000,-0.065958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061875,-0.065958,0.061875,0.120144,0.000000,0.000000,0.000000,-0.065958,0.000000,0.374250,-0.560502,0.000000,0.000000,7.203811
L29,-0.065958,-0.065958,0.000000,0.000000,-0.065958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061875,0.000000,0.000000,0.000000,0.000000,0.061875,0.000000,-0.182321,0.061875,0.061875,8.056073
L30,0.120144,0.120144,0.000000,0.000000,-0.065958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007117,0.061875,0.061875,-0.190868,0.000000,-0.065958,9.607397
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.838474
